Id,Name,Days,Times,Ages,Class starts,Class ends,Tuition,Notes,Brief,Image,Type,Full
1,Tap Foundations,Tuesday,6:15pm-6:45pm,6-9,09/18/2018,Mid-June 2019,"$360 if pre-paid by August 18, or ten monthly payments of $40 each (may withdraw with prorated refund at any time.)","Dress code is dancewear of any type for girls (leotard and tights, unitard, leggings and dance top, etc.) and dancewear or exercise wear for boys (shorts/warm-ups and T-shirt, etc.) No pants that cover the shoes, no hair in face, no dangling jewelry. Shoes required for performances: Tan U-shell buckle tap shoes for girls and black tap oxfords for boys.","Tap fundamentals, including footwork and rhythm, for 6- to 9-year-olds",img/classes/tap/foundations.jpg,tap,"Tap Foundations covers tap fundamentals such as footwork, technique, rhythm, and terminology in a fun, nurturing environment with a variety of music.  Sometimes no music is used and dancers tap “a cappella” (with no musical accompaniment) to better hear the sounds made by various tap steps. "
2,Tap STOMP-style,Thursday,5:00pm-5:45pm,10 & up,09/20/2018,Mid-June 2019,"$423 if pre-paid by August 20, or ten monthly payments of $47 each (may withdraw with prorated refund at any time.)","Dress code is dancewear of any type for girls (leotard and tights, unitard, leggings and dance top, etc.) and dancewear or exercise wear for boys (shorts/warm-ups and T-shirt, etc.) No pants that cover the shoes, no hair in face, no dangling jewelry. Shoes required for performances: Black split-sole leather tap oxfords.",Percussive tap class utilizing a variety of props in the style of STOMP,img/classes/tap/stomp.jpg,tap,"Tap STOMP-style is a high-energy, percussive tap class utilizing a variety of props as percussion instruments while tapping, in the style of the hit Broadway show STOMP. This class showcases the tap elements of rhythm, timing, and musicality in creative and innovative ways. Material is differentiated using a variety of methods, such as leveled polyrhythms, to challenge the experienced as well as the beginner tapper."
3,Junior Tap Team of the Cincinnati Dance Crew,Monday,7:15pm-7:45pm,10 & up,09/17/2018,Mid-June 2019,"$360 if pre-paid by August 17, or ten monthly payments of $40 each (may withdraw with prorated refund at any time.)","Students with prior tap training may register for our Junior Tap Team (subject to Ms. Tina’s approval.)  Dress code is dancewear of any type for girls (leotard and tights, unitard, leggings and dance top, etc.) and dancewear or exercise wear for boys (shorts/warm-ups and T-shirt, etc.) No pants that cover the shoes, no hair in face, no dangling jewelry. Shoes required for performances: Split-sole leather tap oxfords (tan for girls and black for boys)",Tap choreography and technique class for our Junior Tap Team,img/classes/tap/jr.jpg,"tap, performance","Our Junior Tap Team is a youth performance group that performs locally throughout the year in addition to our year-end recital. This class is both a choreography and technique class, in which Junior Tap Team members work on tap technique such as footwork and rhythm, plus performance skills, while learning original performance choreography. "
4,Senior Tap Team of the Cincinnati Dance Crew,Monday,5:15pm-6:00pm,13 & up,09/17/2018,Mid-June 2019,"$486 if pre-paid by August 17, or ten monthly payments of $54 each (may withdraw with prorated refund at any time.)","Intermediate/advanced tappers may register for our Senior Tap Team (subject to Ms. Tina’s approval.)  Dress code is dancewear of any type for girls/women (leotard and tights, unitard, leggings and dance top, etc.) and dancewear or exercise wear for boys/men (shorts/warm-ups and T-shirt, etc.) No pants that cover the shoes, no hair in face, no dangling jewelry. Shoes required for performances: Split-sole leather tap oxfords (Tan for girls/women, black for boys/men)",Tap choreography and technique class for our Senior Tap Team,img/classes/tap/sr.jpg,"tap, performance","Our Senior Tap Team is a teen/adult performance group that performs locally throughout the year in addition to our year-end recital. This class is both a choreography and technique class, in which Senior Tap Team members work on tap technique such as footwork and rhythm, plus performance skills, while learning original performance choreography. "
5,Tap Sampler Drop-In Class,Thursday,6:30pm-7:15pm,Teens-adults,09/20/2018,Mid-June 2019,"$13 per class, reduced to $12 per class for a 5-class dance card, $11 per class for a 10-class dance card, or $10 per class for a 15-class dance card.","Students may choose to “drop in” from time to time or may choose to take a series of classes. Dress code is dancewear of any type for girls/women (leotard and tights, unitard, leggings and dance top, etc.) and dancewear or exercise wear for boys/men (shorts/warm-ups and T-shirt, etc.) No pants that cover the shoes, no hair in face, no dangling jewelry. Tap shoes of any style are permitted for class.",Tap sampler drop-in class for intermediate/advanced students,img/classes/tap/drop-in.jpg,"tap, drop-in","Each 45-minute Tap Sampler Drop-In Class is a stand-alone class, with a different focus each week (for example, polyrhythm tap, vaudeville tap, tapping with props, etc.) The theme for each week will be posted in advance on Facebook. Class material is differentiated for students of various levels from beginner to intermediate/advanced."
6,Pre-School Ballet,Thursday,5:15pm-5:45pm,4-6,09/20/2018,Mid-June 2019,"$360 if pre-paid by August 20, or ten monthly payments of $40 each (may withdraw with prorated refund at any time.)","This class prepares students for Debut Ballet. This is the appropriate class for beginner 6-year-olds. 6-year-olds with ballet training should register for Debut Ballet. Dress code is dancewear (leotard and tights for girls, shorts and a close-fitting T-shirt for boys) and ballet shoes (pink for girls, black for boys.) Hair secured back from face and no dangling jewelry please.",Introduction to ballet for 4- to 6-year-olds,img/classes/ballet/preschool.jpg,"ballet, preschool","Pre-School Ballet is an introduction to ballet focusing on fundamentals to develop coordination, balance, musicality, strength, and flexibility.  Beginning ballet technique and vocabulary are introduced in this class, and students learn introductory barre work. Music used in class is a mix of fun, upbeat children’s music and classical ballet music.  This class prepares students for Debut Ballet."
7,Debut Ballet,Tuesday,5:00pm-5:30pm,6-8,09/18/2018,Mid-June 2019,"$360 if pre-paid by August 18, or ten monthly payments of $40 each (may withdraw with prorated refund at any time.)",Beginner 6-year-olds should register for Pre-School Ballet while 6-year-olds with ballet training may register for Debut Ballet. 8-year-olds with at least two years of ballet training may audition for Encore Ballet. Dress code is black leotard and pink tights (for girls) and black tights/leggings and close-fitting white t-shirt (for boys.) Pink split-sole ballet shoes for girls and black split-sole ballet shoes for boys.,Fundamentals of classical ballet for 6- to 8-year-olds,img/classes/ballet/debut.jpg,ballet,"Debut Ballet teaches the fundamentals of classical ballet technique and terminology, with an emphasis on correct body placement, strength, and flexibility. Students learn barre work as well as center floor work in preparation for Encore Ballet."
8,Encore Ballet,Tuesday,5:30pm-6:15pm,9 & up,09/18/2018,Mid-June 2019,"$423 if pre-paid by August 18, or ten monthly payments of $47 each (may withdraw with prorated refund at any time.)","Students at the lower age range may register for Debut Ballet instead if they would feel more comfortable doing so. This class prepares students for the Intermediate class, and it is expected that most students spend two or three years at this level before moving up. Dress code is black leotard and pink tights (for girls) and black tights/leggings and close-fitting white t-shirt (for boys.) Pink split-sole ballet shoes for girls and black split-sole ballet shoes for boys.","Classical ballet, with a strong technique focus, for students age 9 and up",img/classes/ballet/encore.jpg,ballet,"Encore Ballet is a classical ballet class for students age 9 and up, with a strong focus on technique and terminology. Students work on increasingly challenging material at the barre and center floor, with differentiated instruction for students at varying levels, with the goal of students becoming proficient in classical ballet to move on to the Intermediate/Advanced class."
9,Intermediate/Advanced Ballet Barre,Tuesday,6:15pm-7:15pm,10 & up,09/18/2018,Mid-June 2019,"$486 if pre-paid by August 18, or ten monthly payments of $54 each (may withdraw with prorated refund at any time.)","Students must be invited by teacher, or audition for placement in this class (such as participating in first class for teacher to evaluate placement.) Non-performance class. Dress code is black leotard and pink tights (for girls) and black tights/leggings and close-fitting white t-shirt (for boys.) Pink split-sole ballet shoes for girls and black split-sole ballet shoes for boys.",Intermediate/advanced classical ballet barre class,img/classes/ballet/barre.jpg,ballet,Intermediate/Advanced Ballet Barre is a combined-level (Int/Adv) classical ballet barre class for serious students with prior ballet training who have mastered the fundamentals of classical ballet technique and terminology and are working on refining their technique to take it to the next level.
10,Intermediate/Advanced Ballet Barre & Technique,Thursday,5:45pm-6:45pm,10 & up,09/20/2018,Mid-June 2019,"$486 if pre-paid by August 20, or ten monthly payments of $54 each (may withdraw with prorated refund at any time.)","Students must be invited by teacher, or audition for placement in this class (such as participating in first class for teacher to evaluate placement.) Non-performance class. Dress code is black leotard and pink tights (for girls) and black tights/leggings and close-fitting white t-shirt (for boys.) Pink split-sole ballet shoes for girls and black split-sole ballet shoes for boys.",Intermediate/advanced classical ballet barre and technique class,img/classes/ballet/technique.jpg,ballet,Intermediate/Advanced Ballet Barre & Technique is a combined level (Int/Adv) classical ballet barre and technique class for serious students with prior ballet training who have mastered the fundamentals of classical ballet technique and terminology and are working on refining their technique to take it to the next level.
